feedback_times,probabilityLeft,contrastLeft,feedbackType,goCue_times,stimOn_times,choice,rewardVolume,firstMovement_times,contrastRight,response_times
675.1976999999999,0.2,,1.0,674.8554999999999,674.8213,-1.0,1.5,674.9977985740722,0.0,675.1976
678.8649,0.2,0.0,1.0,678.0289,677.9966000000001,1.0,1.5,678.6897985740718,,678.8648000000001
682.4200999999999,0.2,,1.0,681.8663999999999,681.8377999999999,-1.0,1.5,682.2387985740714,0.25,682.42
686.4822999999999,0.2,,1.0,685.3757999999999,685.3462999999999,-1.0,1.5,686.390798574071,1.0,686.4821999999999
690.0992,0.2,,1.0,689.2293000000001,689.1961,-1.0,1.5,689.6747985740706,0.25,690.0991
698.3119,0.2,0.25,1.0,692.6987,692.6713,1.0,1.5,698.2067985740697,,698.3118
701.4508,0.2,,1.0,701.0757,701.0459,-1.0,1.5,701.2227985740693,1.0,701.4507
706.3024,0.2,0.0,-1.0,704.0291,703.996,-1.0,0.0,706.1027985740689,,706.2708
710.0475,0.2,,1.0,709.9318,709.8957,-1.0,1.5,709.8697985740683,0.0,710.0474
715.8413,0.2,0.125,1.0,712.6051,712.5706,1.0,1.5,715.6677985740678,,715.8412000000001
718.9279,0.2,,-1.0,718.5509,718.5201,1.0,0.0,718.6417985740675,0.0,718.8996
722.9653999999999,0.2,,1.0,722.6534,722.6202,-1.0,1.5,722.723798574067,0.125,722.9653
728.0831999999999,0.2,,1.0,725.8146999999999,725.7865999999999,-1.0,1.5,727.9437985740664,0.25,728.0831
731.4713,0.2,1.0,1.0,730.8604,730.8285999999999,1.0,1.5,731.1087985740661,,731.4712
736.6861,0.2,,-1.0,735.3499,735.3201,1.0,0.0,736.4177985740655,0.125,736.6571
744.7811,0.2,,-1.0,740.7316,740.7029,1.0,0.0,744.5167985740645,0.0625,744.7524999999999
749.1988,0.2,,1.0,748.6985,748.6699,-1.0,1.5,749.0287985740641,0.125,749.1986999999999
755.7203999999999,0.2,0.0,-1.0,752.064,752.0364999999999,-1.0,0.0,752.1317985740637,,755.6943
759.7794,0.2,0.0625,1.0,759.3658,759.3363,1.0,1.5,759.5917985740629,,759.7793
764.5445,0.2,,-1.0,763.0633,763.0360000000001,1.0,0.0,764.3257985740624,0.0,764.4985
769.223,0.2,,-1.0,768.3379,768.3028999999999,1.0,0.0,769.0167985740619,0.0625,769.1914999999999
777.121,0.2,,-1.0,773.7275999999999,773.6944,1.0,0.0,776.8457985740611,0.0,777.0853
783.5722,0.2,0.0625,1.0,781.8986,781.8687,1.0,1.5,783.4147985740603,,783.5721
792.0258,0.2,,-1.0,788.5083999999999,788.4775999999999,1.0,0.0,791.8737985740594,0.0,791.9878
795.7683000000001,0.8,0.125,-1.0,795.5913,795.5606,-1.0,0.0,795.6057985740589,,795.7304
801.5026,0.8,0.125,1.0,799.3977,799.3688999999999,1.0,1.5,801.2517985740583,,801.5024999999999
808.8145,0.8,0.0,1.0,805.9235,805.8937,1.0,1.5,808.5887985740575,,808.8144
812.4103,0.8,,-1.0,811.4172,811.3848,1.0,0.0,812.1837985740572,0.0,812.3795
816.5695,0.8,,1.0,816.2038,816.177,-1.0,1.5,816.3017985740566,0.25,816.5694
819.7722,0.8,0.25,1.0,819.2651999999999,819.2348,1.0,1.5,819.5717985740563,,819.7720999999999
823.905,0.8,1.0,1.0,823.5897,823.5600000000001,1.0,1.5,823.6697985740559,,823.9049
827.2148,0.8,0.0625,1.0,826.6541,826.6266999999999,1.0,1.5,826.9397985740555,,827.2147
830.4407,0.8,0.25,1.0,830.2355,830.2015,1.0,1.5,830.2427985740551,,830.4406
833.4206,0.8,0.25,1.0,833.2649,833.2348,1.0,1.5,833.2747985740548,,833.4205
836.1707,0.8,1.0,1.0,836.0101999999999,835.9764,1.0,1.5,835.9897985740545,,836.1706
840.3273999999999,0.8,0.25,1.0,839.9267,839.8928999999999,1.0,1.5,840.0787985740541,,840.3272999999999
843.1731,0.8,,-1.0,842.9561,842.9263,1.0,0.0,842.9747985740537,0.25,843.1452999999999
849.3477999999999,0.8,,-1.0,846.8665,846.8345999999999,1.0,0.0,849.104798574053,0.25,849.3178999999999
853.3318999999999,0.8,0.125,1.0,853.2293,853.2008999999999,1.0,1.5,853.1467985740526,,853.3317999999999
857.0513,0.8,0.25,1.0,856.5387,856.5092,1.0,1.5,856.8677985740522,,857.0512
860.3584,0.8,1.0,1.0,860.0201,859.9926,1.0,1.5,860.1477985740519,,860.3583
863.3164999999999,0.8,0.25,1.0,862.9414999999999,862.9091999999999,1.0,1.5,863.0457985740516,,863.3163999999999
866.1039999999999,0.8,0.0,1.0,866.0069,865.9758999999999,1.0,1.5,865.8447985740512,,866.1039
870.2008999999999,0.8,0.125,1.0,869.5682999999999,869.5257999999999,1.0,1.5,869.8957985740508,,870.2008
873.4875,0.8,0.0625,1.0,872.8966999999999,872.8672999999999,1.0,1.5,873.2777985740504,,873.4873999999999
881.4544,0.8,0.0,1.0,876.2301,876.2007,1.0,1.5,877.4797985740499,,881.4543
884.3091,0.8,,-1.0,884.1761,884.142,1.0,0.0,884.1217985740492,0.125,884.2803
888.5132,0.8,0.125,1.0,888.0626,888.0337,1.0,1.5,888.2997985740487,,888.5131
891.8462999999999,0.8,0.25,1.0,891.5919999999999,891.5586,1.0,1.5,891.6397985740484,,891.8462
895.1275999999999,0.8,0.125,1.0,894.6374,894.6085999999999,1.0,1.5,894.962798574048,,895.1274999999999
898.4816000000001,0.8,0.125,1.0,897.8188,897.7917,1.0,1.5,898.1787985740476,,898.4815
901.7338,0.8,0.125,1.0,901.1202,901.0917999999999,1.0,1.5,901.3737985740473,,901.7337
